License Number,Company Name
403R-01401,1 Cure
403R-00537,1-11 LLC
404R-00138,1-11 LLC
403R-00618,3 Dog Productions LLC
403R-01224,7 Suns LLC
404R-00558,A&M LLC
404R-00402,AB CO Packaging LLC
403R-00859,"ACME Growers, LLC (deleted)"
403R-01024,AD Farms
403R-00565,Agricultural Advantages LLC
403R-01006,Agricultural Farms LLC
403R-00503,AJ's
403R-00921,Alex Park Farms (deleted)
404R-00509,Alien Extracts
403R-01085,"ALK Holdings, LLC"
403R-01230,All Farmers LLC (deleted)
403R-00783,All Pro Farms LLC
403R-01027,"Ancient Farms, LLC"
403R-00953,Angel Farms LLC
404R-00410,Apothecary Extracts
403R-00424,Apothecary Farms
403R-01362,Apres Fine Cannabis
403R-01126,Apropos Enterprise LLC
403R-00766,Arkannabis Farms LLC
403R-01222,Arkansas Valley Organics
403R-00357,Ascend Cannabis Co
403R-01032,Bear With Us LLC
403R-00283,Bennett Holdings (deleted)
403R-00694,Best Buds Botanical
404R-00552,Best Buds Bubbles
403R-00897,Best Budz LLC
404R-00495,Better Green LLC
403R-00476,Beulah Valley Farms
403R-01223,Biomeds Recreational Wholesale LLC
403R-00300,Bloom County
403R-01283,BLUE EARTH CANNABIS
403R-00467,Boone Farms LLC
403R-01299,Bubba's Kush
404R-00564,Bubba's Kush
403R-01059,Bully's Farms LLC
403R-01209,C.BEK LLC (deleted)
402R-00698,Canna City (deleted)
403R-01284,Canna Meds Wellness Center
403R-01087,Canna Stix LLC
403R-00374,Cannacraft LLC
403R-01378,Casa Verde
402R-00782,CCW Holding Inc (CannaCity)
403R-00606,CGRO LLC (deleted)
404R-00047,Cheeba Chews
403R-01103,Clearwater Buds LLC
404R-00065,Clearwater Concentrates
403R-00870,Clutchx LLC
404R-00281,Clutchx LLC
404R-00134,Coda Signature
403R-00986,Collected Sun
403R-00488,Colorado Best Budz (deleted)
403R-00384,Colorado Distributing Inc
404R-00093,Colorado Distributing Inc
403R-01154,Colorado Gold LLP
404R-00170,Craft
403R-00734,CS Holdings Inc (deleted)
403R-01182,Cutting Edge Cultivation LLC
404R-00209,Dabble Extracts
403R-00510,Dalwhinnie Farms
403R-01021,DD Farms LLC
403R-01064,Deeper Roots LLC (deleted)
404R-00011,"Denco, LLC"
403R-00926,DH Systems & Testing LLC
404R-00447,"Diamond Star, LLC"
403R-00670,DKC
403R-01303,Doctors Orders Stem Beach
403R-01048,Double C Farms
403R-00428,Dr Jekyll Farms
403R-00617,Dr Releaf Inc
403R-01388,"Dr. Jay's Exotics, LLC"
403R-01305,Dreamcrop LLC
403R-01004,DSA LLC
403R-00958,Earth Energy Unlimited LLC
404R-00354,Earth Energy Unlimited LLC
403R-00682,Elevated Concepts
403R-00952,Elite Farms LLC
403R-01337,Ember Limited
403R-01316,Emerald Stone LLC
403R-00821,Evergreen Naturals LLC
403R-00822,Evergreen Naturals LLC
403R-01076,Evergreen Nursery Farms LLC
403R-00826,Expanding Earth LLC
404R-00283,Expanding Earth LLC
403R-00907,Exuberant Industries llc
403R-00723,Family Farm Growers LLC
403R-01282,Fantastic Dream LLC
403R-00486,Faragosi Farms
403R-00979,Fifth Ace
403R-01241,Flower Factory / MO-FFAT BUDS LLC
403R-00774,Flying J Inc
404R-00245,Flying J Inc
403R-00594,Freedom Road LLC
403R-01307,Fresh Fab LLC
403R-01296,Fun Station Inc
403R-01328,Galactic Cultivations Moffat LLC
403R-00727,Gallo Farms (deleted)
403R-01449,Ganja Guys LLC
403R-01424,Gem Stoned Inc
403R-01159,Ghost Gardens (PRN Holdings LLC)
403R-01155,Golden Canon Corp
403R-01113,GPSR LLC (deleted)
403R-01229,Grassland Farms LLC (deleted)
403R-01189,Green Apple Acres LLC
403R-00852,Green Cross LLC
403R-01179,Green Depot Farms
403R-00629,Green Farmers LLC
403R-01116,Green Life Infusions LLC (deleted)
403R-01258,Green Mile Cultivation (deleted)
403R-01135,Green Sativa
403R-01198,Green Street
403R-01199,Green Street
404R-00481,Green Street
403R-01013,Greener Heights LLC
403R-01089,GreenFusion LLC (deleted)
403R-00746,Greenhouse Workz Inc (deleted)
403R-00519,Grow Inc - 2797 59th
403R-00993,Grow Inc - 2797 59th
403R-00994,Grow Inc - 2797 59th
403R-00812,Happy Tree Farms
402R-00475,Heartland Industries
403R-00355,Heartland Industries
404R-00084 ,Heartland Industries
404R-00424,Herbal Garden Extract
403R-00700,High Canyon LLC
403R-00639,High Colorado Farms
403R-00265,High Demand LLC
403R-01117,High Demand LLC
404R-00369,High Desert Cultivations (deleted)
403R-00843,High Horse LLC
